,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,2.8912156114845576e-05,2.670485723554884e-05-3.1119454994142316e-05,0.0,0.0,0.0,0.0
1,3.369164392318314e-05,3.1119454994142316e-05-3.626383285222397e-05,0.0,0.0,0.0,0.0
2,3.926123204847071e-05,3.626383285222397e-05-4.2258631244717455e-05,0.0,0.0,0.0,0.0
3,4.575153250100685e-05,4.2258631244717455e-05-4.9244433757296247e-05,0.0,0.0,0.0,0.0
4,5.3314748849615386e-05,4.9244433757296247e-05-5.7385063941934525e-05,0.0,0.0,0.0,0.0
5,6.212824553658424e-05,5.7385063941934525e-05-6.687142713123396e-05,0.0,0.0,0.0,0.0
6,7.239870723843692e-05,6.687142713123396e-05-7.792598734563987e-05,0.0,0.0,0.0,0.0
7,8.436698581340747e-05,7.792598734563987e-05-9.080798428117507e-05,0.0,0.0,0.0,0.0
8,9.831374850103431e-05,9.080798428117507e-05-0.00010581951272089357,0.0,0.0,0.0,0.0
9,0.00011456605982939576,0.00010581951272089357-0.00012331260693789796,0.0,0.0,0.0,0.0
10,0.00013350505158182032,0.00012331260693789796-0.00014369749622574268,0.0,0.0,0.0,0.0
11,0.0001555748606909082,0.00014369749622574268-0.00016745222515607375,0.0,0.0,0.0,0.0
12,0.0001812930446617747,0.00016745222515607375-0.00019513386416747565,0.0,0.0,0.0,0.0
13,0.0002112627187758556,0.00019513386416747565-0.00022739157338423556,0.0,0.0,0.0,0.0
14,0.00024618669970396726,0.00022739157338423556-0.00026498182602369895,0.0,0.0,0.0,0.0
15,0.00028688398720947425,0.00026498182602369895-0.00030878614839524956,0.0,0.0,0.0,0.0
16,0.0003343089704527994,0.00030878614839524956-0.00035983179251034925,0.0,0.0,0.0,0.0
17,0.0003895738093029397,0.00035983179251034925-0.00041931582609553016,0.0,0.0,0.0,0.0
18,0.00045397451551851546,0.00041931582609553016-0.0004886332049415008,0.0,0.0,0.0,0.0
19,0.0005290213454262507,0.0004886332049415008-0.0005694094859110008,0.0,0.0,0.0,0.0
20,0.0006164742168334031,0.0005694094859110008-0.0006635389477558053,0.0,0.0,0.0,0.0
21,0.0007183839807336056,0.0006635389477558053-0.0007732290137114059,0.0,0.0,0.0,0.0
22,0.0008371405156659235,0.0007732290137114059-0.0009010520176204412,0.0,0.0,0.0,0.0
23,0.0009755287725844814,0.0009010520176204412-0.0010500055275485217,0.0,0.0,0.0,0.0
24,0.0011367940845428645,0.0010500055275485217-0.001223582641537207,0.0,0.0,0.0,0.0
25,0.0013247182727659987,0.001223582641537207-0.0014258539039947904,0.0,0.0,0.0,0.0
26,0.0015437083338675326,0.0014258539039947904-0.0016615627637402745,0.0,0.0,0.0,0.0
